term1;term2;score
acceleration;warning;0.09718712
acceleration;wheel;0.27086958
accident;actuator;0.08945038
accident;adaptive_cruise;0.09835215
accident;algorithm;0.069426045
accident;angle;0.13403007
accident;assistance;0.121053874
accident;automate;-0.030470738
accident;automotive;0.15712637
accident;autonomous;0.07769075
accident;axle;0.19039404
accident;battery;0.14522783
accident;brake;0.28780785
accident;brake_pedal;0.16797626
accident;bus;0.20091175
accident;camera;0.09829954
accident;capacity;0.09694645
accident;car;0.29205528
accident;characteristic;-0.0078684855
accident;circuit;0.13367571
accident;clutch;0.052418113
accident;collision;0.7156658
accident;combustion;0.13943617
accident;combustion_chamber;0.0518912
accident;commercial_vehicle;0.12650448
accident;communication;0.09904671
accident;component;0.033742137
accident;condition;0.2974632
accident;connection;0.077284686
accident;consumption;0.07323142
accident;controller;0.108536795
accident;curve;0.17201905
accident;cylinder;0.13077287
accident;define;-0.02615792
accident;detection;0.020412808
accident;diesel;0.17369224
accident;diesel_engine;0.09286212
accident;drive;0.13241857
accident;dynamic;0.04739022
accident;electric_motor;0.14074801
accident;electrical;0.20890799
accident;emission;0.13749859
accident;engine;0.22065738
accident;equation;0.033106055
accident;error;0.27232456
accident;factor;0.09305455
accident;fault;0.294982
accident;friction;0.16953883
accident;fuel;0.12652047
accident;functional;0.03974931
accident;gasoline;0.07751887
accident;gear;0.028164396
accident;hybrid;-0.00023033947
accident;hydraulic;0.2163578
accident;ignition;0.250577
accident;injection;0.10178123
accident;input;0.061375298
accident;intelligent;0.030143311
accident;interface;0.05133004
accident;internal_combustion_engine;0.092251055
accident;lane;0.2479144
accident;lateral;0.09399113
accident;lateral_acceleration;0.22326024
accident;limit;0.12564605
accident;load;0.13696793
accident;longitudinal;0.074457094
accident;manufacturer;0.14190596
accident;maximum;0.021092804
accident;measure;0.0005381968
accident;measurement;-0.0062376224
accident;mechanical;0.2337549
accident;message;0.056687687
accident;mode;0.035374466
accident;module;0.030643266
accident;moment;0.16097324
accident;motor;0.25736573
accident;navigation;0.13289864
accident;passenger;0.29758987
accident;optimal;0.04869557
accident;output;0.06849303
accident;parameter;0.055530988
accident;phase;-0.0013647904
accident;piston;0.08997122
accident;pump;0.0827024
accident;ratio;0.032798618
accident;rear;0.19311813
accident;rear_wheel;0.14960551
accident;requirement;0.035015397
accident;resistance;-0.05409915
accident;risk;0.06504945
accident;safety;0.25943264
accident;scenario;0.18355879
accident;sensor;0.10097503
accident;shaft;0.17702894
accident;signal;0.10486794
accident;simulation;0.13221668
accident;slip;0.13711704
accident;spark_plug;0.08226946
accident;speed;0.18121631
accident;spring;-0.024190284
accident;stability;0.057849742
accident;steer;0.041107796
accident;step;0.0068079922
accident;suspension;0.18107863
accident;switch;0.06520452
accident;target;-0.08018848
accident;task;0.04917902
accident;test;0.11989923
accident;tire;0.1803568
accident;torque;0.109972656
accident;transmission;0.12711704
accident;valve;0.17149426
accident;variable;0.06882268
accident;vehicle;0.30127627
accident;velocity;0.07581459
accident;voltage;0.11423213
accident;warning;0.06382704
accident;wheel;0.29370347
actuator;adaptive_cruise;0.3280878
actuator;algorithm;0.25400543
actuator;angle;0.28163567
actuator;assistance;0.05773136
actuator;automate;0.19283321
actuator;automotive;0.25768256
actuator;autonomous;0.19738252
actuator;axle;0.49334309
actuator;battery;0.3139028
actuator;brake;0.44246435
actuator;brake_pedal;0.38183272
actuator;bus;0.10986372
actuator;camera;0.1784258
actuator;capacity;0.1396409
actuator;car;0.16242924
actuator;characteristic;0.21163453
actuator;circuit;0.22213177
actuator;clutch;0.25848067
actuator;collision;0.10489496
actuator;combustion;0.39531922
actuator;combustion_chamber;0.53243905
actuator;commercial_vehicle;0.27888066
actuator;communication;0.10317455
actuator;component;0.23251767
actuator;condition;0.0035911356
actuator;connection;0.03424439
actuator;consumption;0.16421463
actuator;controller;0.37545156
actuator;curve;0.13986003
actuator;cylinder;0.51654446
actuator;define;0.002357434
actuator;detection;0.18609653
actuator;diesel;0.19739585
actuator;diesel_engine;0.36097512
actuator;drive;0.07421863
actuator;dynamic;0.24227025
actuator;electric_motor;0.48186302
actuator;electrical;0.41194206
actuator;emission;0.25420606
actuator;engine;0.38062125
actuator;equation;0.09547986
actuator;error;0.1375033
actuator;factor;0.05405535
actuator;fault;0.13881822
actuator;friction;0.25233313
actuator;fuel;0.20357513
actuator;functional;0.18485199
actuator;gasoline;0.11460577
actuator;gear;0.20998576
actuator;hybrid;0.1854747
actuator;hydraulic;0.5176963
actuator;ignition;0.47413898
actuator;injection;0.17892292
actuator;input;0.24402797
actuator;intelligent;0.19296739
actuator;interface;0.36466497
actuator;internal_combustion_engine;0.30293274
actuator;lane;0.20619346
actuator;lateral;0.3590144
actuator;lateral_acceleration;0.41780448
actuator;limit;0.054980382
actuator;load;0.16715775
actuator;longitudinal;0.34452528
actuator;manufacturer;0.29075927
actuator;maximum;0.13480744
actuator;measure;0.041260555
actuator;measurement;0.26502421
actuator;mechanical;0.4421851
actuator;message;0.033951722
actuator;mode;0.23309432
actuator;module;0.43072033
actuator;moment;0.07281131
actuator;motor;0.38742086
actuator;navigation;0.284131
actuator;passenger;0.16753505
actuator;optimal;0.24649748
actuator;output;0.22659545
actuator;parameter;0.32543245
actuator;phase;0.13310237
actuator;piston;0.6046348
actuator;pump;0.3068301
actuator;ratio;0.095062174
actuator;rear;0.3572398
actuator;rear_wheel;0.4552611
actuator;requirement;0.08398213
actuator;resistance;0.19846854
actuator;risk;0.06295574
actuator;safety;0.104551464
actuator;scenario;0.01230103
actuator;sensor;0.59022456
actuator;shaft;0.3919368
actuator;signal;0.1663377
actuator;simulation;0.20127526
actuator;slip;0.097164616
actuator;spark_plug;0.3454046
actuator;speed;0.20201673
actuator;spring;0.04762043
actuator;stability;0.08157636
actuator;steer;0.04789703
actuator;step;0.0688776
actuator;suspension;0.12833023
actuator;switch;0.22880527
actuator;target;0.048688747
actuator;task;0.039483123
actuator;test;0.085248634
actuator;tire;0.31054237
actuator;torque;0.5112023
actuator;transmission;0.28924704
actuator;valve;0.5828201
actuator;variable;0.34939837
actuator;vehicle;0.255446
actuator;velocity;0.3214952
actuator;voltage;0.48123655
actuator;warning;0.07299378
actuator;wheel;0.32719868
adaptive_cruise;algorithm;0.21468964
adaptive_cruise;angle;0.12438156
adaptive_cruise;assistance;0.11607963
adaptive_cruise;automate;0.083929814
adaptive_cruise;automotive;0.27620173
adaptive_cruise;autonomous;0.15293516
adaptive_cruise;axle;0.29792157
adaptive_cruise;battery;0.21637516
adaptive_cruise;brake;0.3924214
adaptive_cruise;brake_pedal;0.33371907
adaptive_cruise;bus;0.18034528
adaptive_cruise;camera;0.22471035
adaptive_cruise;capacity;-0.003876244
adaptive_cruise;car;0.30561164
adaptive_cruise;characteristic;0.050673593
adaptive_cruise;circuit;0.123237774
adaptive_cruise;clutch;0.1990495
adaptive_cruise;collision;0.19190049
adaptive_cruise;combustion;0.2282897
adaptive_cruise;combustion_chamber;0.19774343
adaptive_cruise;commercial_vehicle;0.31176692
adaptive_cruise;communication;0.14694706
adaptive_cruise;component;0.11423251
adaptive_cruise;condition;0.03194111
adaptive_cruise;connection;0.01141347
adaptive_cruise;consumption;0.121034406
adaptive_cruise;controller;0.2809181
adaptive_cruise;curve;0.19751173
adaptive_cruise;cylinder;0.23423363
adaptive_cruise;define;0.019180188
adaptive_cruise;detection;0.26539868
adaptive_cruise;diesel;0.22049843
adaptive_cruise;diesel_engine;0.3046179
adaptive_cruise;drive;0.16424198
adaptive_cruise;dynamic;0.16716152
adaptive_cruise;electric_motor;0.3693107
adaptive_cruise;electrical;0.11443951
adaptive_cruise;emission;0.26212153
adaptive_cruise;engine;0.26421463
adaptive_cruise;equation;0.03375142
adaptive_cruise;error;-0.020702608
adaptive_cruise;factor;0.06357262
adaptive_cruise;fault;0.07634244
adaptive_cruise;friction;0.07743674
adaptive_cruise;fuel;0.11100388
adaptive_cruise;functional;0.08453463
adaptive_cruise;gasoline;0.10297813
adaptive_cruise;gear;0.16011381
adaptive_cruise;hybrid;0.26657867
adaptive_cruise;hydraulic;0.2595895
adaptive_cruise;ignition;0.32471305
adaptive_cruise;injection;0.061134458
adaptive_cruise;input;0.03805773
adaptive_cruise;intelligent;0.17408662
adaptive_cruise;interface;0.22922416
adaptive_cruise;internal_combustion_engine;0.26339468
adaptive_cruise;lane;0.29382357
adaptive_cruise;lateral;0.12683052
adaptive_cruise;lateral_acceleration;0.39237976
adaptive_cruise;limit;0.100143895
adaptive_cruise;load;0.045232605
adaptive_cruise;longitudinal;0.17274365
adaptive_cruise;manufacturer;0.13119105
adaptive_cruise;maximum;0.072587505
adaptive_cruise;measure;0.012234621
adaptive_cruise;measurement;0.15370362
adaptive_cruise;mechanical;0.19916686
adaptive_cruise;message;-0.01399222
adaptive_cruise;mode;0.2550927
adaptive_cruise;module;0.20781347
adaptive_cruise;moment;-0.00826409
adaptive_cruise;motor;0.27409354
adaptive_cruise;navigation;0.44177604
adaptive_cruise;passenger;0.21181124
adaptive_cruise;optimal;0.120102495
adaptive_cruise;output;0.07417077
adaptive_cruise;parameter;0.15448193
adaptive_cruise;phase;0.064639024
adaptive_cruise;piston;0.1991517
adaptive_cruise;pump;0.12656645
adaptive_cruise;ratio;0.09653809
adaptive_cruise;rear;0.36095247
adaptive_cruise;rear_wheel;0.32096237
adaptive_cruise;requirement;0.07668712
adaptive_cruise;resistance;0.05123668
adaptive_cruise;risk;0.049171705
adaptive_cruise;safety;0.13484716
adaptive_cruise;scenario;0.02243734
adaptive_cruise;sensor;0.42196542
adaptive_cruise;shaft;0.08205397
adaptive_cruise;signal;0.17281306
adaptive_cruise;simulation;0.15127149
adaptive_cruise;slip;0.08178003
adaptive_cruise;spark_plug;0.16012105
adaptive_cruise;speed;0.22278929
adaptive_cruise;spring;-0.016605258
adaptive_cruise;stability;0.13476636
adaptive_cruise;steer;0.12257871
adaptive_cruise;step;0.061679535
adaptive_cruise;suspension;0.07773806
adaptive_cruise;switch;0.13922778
adaptive_cruise;target;-0.016887773
adaptive_cruise;task;-0.025634158
adaptive_cruise;test;0.042424787
adaptive_cruise;tire;0.18209182
adaptive_cruise;torque;0.27783802
adaptive_cruise;transmission;0.15724015
adaptive_cruise;valve;0.2362543
adaptive_cruise;variable;0.2079569
adaptive_cruise;vehicle;0.34956923
adaptive_cruise;velocity;0.113855325
adaptive_cruise;voltage;0.19671252
adaptive_cruise;warning;0.14614949
adaptive_cruise;wheel;0.26416272
algorithm;angle;0.14199734
algorithm;assistance;0.013021452
algorithm;automate;0.29577753
algorithm;automotive;0.092533015
algorithm;autonomous;0.15572149
algorithm;axle;0.12674002
algorithm;battery;0.1182913
algorithm;brake;0.0780891
algorithm;brake_pedal;0.13953346
algorithm;bus;-0.022208344
algorithm;camera;0.09207997
algorithm;capacity;0.031544287
algorithm;car;0.06901192
algorithm;characteristic;0.18404853
algorithm;circuit;0.07669141
algorithm;clutch;0.024608325
algorithm;collision;0.025302874
algorithm;combustion;0.20633
algorithm;combustion_chamber;0.26624644
algorithm;commercial_vehicle;0.052550606
algorithm;communication;0.071777046
algorithm;component;0.1656269
algorithm;condition;0.08280113
algorithm;connection;0.03537053
algorithm;consumption;0.08862199
algorithm;controller;0.18080138
algorithm;curve;0.1291884
algorithm;cylinder;0.1307597
algorithm;define;0.103442416
algorithm;detection;0.30736202
algorithm;diesel;0.08138541
algorithm;diesel_engine;0.13861981
algorithm;drive;0.040153503
algorithm;dynamic;0.21990001
algorithm;electric_motor;0.21591759
algorithm;electrical;0.08305307
algorithm;emission;0.17679821
algorithm;engine;0.29288852
algorithm;equation;0.20930342
algorithm;error;0.2191004
algorithm;factor;0.0962745
algorithm;fault;0.12943484
algorithm;friction;0.06415992
algorithm;fuel;0.07191325
algorithm;functional;0.16147476
algorithm;gasoline;0.013376701
algorithm;gear;0.099257104
algorithm;hybrid;0.13397655
algorithm;hydraulic;0.15939844
algorithm;ignition;0.19952223
algorithm;injection;0.08170161
algorithm;input;0.18181948
algorithm;intelligent;0.22340132
algorithm;interface;0.405072
algorithm;internal_combustion_engine;0.20614739
algorithm;lane;0.05907239
algorithm;lateral;0.12736078
algorithm;lateral_acceleration;0.27993622
algorithm;limit;0.07011998
algorithm;load;0.08733403
algorithm;longitudinal;0.29269877
algorithm;manufacturer;0.06949961
algorithm;maximum;0.15493435
algorithm;measure;0.15053141
algorithm;measurement;0.3588296
algorithm;mechanical;0.1911741
algorithm;message;0.06976566
algorithm;mode;0.24424657
algorithm;module;0.35558262
algorithm;moment;0.0370567
algorithm;motor;0.09002528
algorithm;navigation;0.20811822
algorithm;passenger;0.026776502
algorithm;optimal;0.35458112
algorithm;output;0.13333982
algorithm;parameter;0.49624482
algorithm;phase;0.119973704
algorithm;piston;0.2110065
algorithm;pump;0.10063349
algorithm;ratio;0.19251417
algorithm;rear;0.0066689416
algorithm;rear_wheel;0.11830815
algorithm;requirement;0.097698614
algorithm;resistance;0.10805688
algorithm;risk;0.13285753
algorithm;safety;0.0006307019
algorithm;scenario;0.12626462
algorithm;sensor;0.3932752
algorithm;shaft;0.10843883
algorithm;signal;0.23237273
algorithm;simulation;0.28055516
algorithm;slip;0.0083356695
algorithm;spark_plug;0.040313814
algorithm;speed;0.17327414
algorithm;spring;0.021435024
algorithm;stability;0.03274004
algorithm;steer;0.0005085347
algorithm;step;0.0029365185
algorithm;suspension;0.033560157
algorithm;switch;0.042934723
algorithm;target;0.0793289
algorithm;task;0.099609345
algorithm;test;0.13768114
algorithm;tire;0.03533998
algorithm;torque;0.2342235
algorithm;transmission;0.13777149
algorithm;valve;0.14467151
algorithm;variable;0.30164725
algorithm;vehicle;0.091260046
algorithm;velocity;0.2036551
algorithm;voltage;0.20621873
algorithm;warning;0.016299097
algorithm;wheel;0.033092193
angle;assistance;0.03172186
angle;automate;0.00074652466
angle;automotive;0.091178626
angle;autonomous;0.0562936
angle;axle;0.24080499
angle;battery;0.10353706
angle;brake;0.19681144
angle;brake_pedal;0.2228344
angle;bus;0.010917682
angle;camera;0.32628292
angle;capacity;0.03066323
angle;car;0.053530294
angle;characteristic;0.22176905
angle;circuit;0.0717252
angle;clutch;0.09886105
angle;collision;0.17581275
angle;combustion;0.17872983
angle;combustion_chamber;0.25261396
angle;commercial_vehicle;0.07771503
angle;communication;0.06874843
angle;component;0.09146781
angle;condition;0.114887685
angle;connection;0.1152517
angle;consumption;0.09625277
angle;controller;0.10867763
angle;curve;0.30235264
angle;cylinder;0.1911294
angle;define;0.06963707
angle;detection;0.11029503
angle;diesel;0.02217142
angle;diesel_engine;0.032806218
angle;drive;0.10306406
angle;dynamic;0.14192827
angle;electric_motor;0.17738803
angle;electrical;0.03725337
angle;emission;0.096964315
angle;engine;0.09716352
angle;equation;0.24861996
angle;error;0.10401673
angle;factor;0.14842153
angle;fault;0.20111656
angle;friction;0.13151114
angle;fuel;0.06981032
angle;functional;0.072274916
angle;gasoline;0.018350778
angle;gear;0.17869188
angle;hybrid;0.06698319
angle;hydraulic;0.15985149
angle;ignition;0.14936456
angle;injection;0.072310634
angle;input;0.15134247
angle;intelligent;0.12130806
angle;interface;0.19193065
angle;internal_combustion_engine;0.06944051
angle;lane;0.23801121
angle;lateral;0.35592195
angle;lateral_acceleration;0.28891626
angle;limit;0.056836985
angle;load;0.12782519
angle;longitudinal;0.21727753
angle;manufacturer;0.035278104
angle;maximum;0.10481309
angle;measure;0.13912772
angle;measurement;0.16961744
angle;mechanical;0.12819009
angle;message;0.06920098
angle;mode;0.26544157
angle;module;0.13625522
angle;moment;0.28057292
angle;motor;0.058507763
angle;navigation;0.15893555
angle;passenger;0.05799821
angle;optimal;0.21850356
angle;output;0.15488574
angle;parameter;0.23280205
angle;phase;0.04539208
angle;piston;0.23615433
angle;pump;0.10500065
angle;ratio;0.17900094
angle;rear;0.35756984
angle;rear_wheel;0.26705882
angle;requirement;0.08536111
angle;resistance;0.12080828
angle;risk;0.1867968
angle;safety;0.12024993
angle;scenario;0.23071125
angle;sensor;0.24306683
angle;shaft;0.32382217
angle;signal;0.17843994
angle;simulation;0.12883039
angle;slip;0.13274738
angle;spark_plug;0.080756485
angle;speed;0.20612271
angle;spring;0.037141833
angle;stability;0.103464305
angle;steer;0.21103631
angle;step;0.15884489
angle;suspension;0.08312988
angle;switch;0.16151871
angle;target;0.20121878
angle;task;0.16870433
angle;test;0.07404097
angle;tire;0.14128241
angle;torque;0.29140767
angle;transmission;0.078385286
angle;valve;0.20947357
angle;variable;0.16222356
angle;vehicle;0.10569718
angle;velocity;0.32391462
angle;voltage;0.20465377
angle;warning;0.04061072
angle;wheel;0.16570984
assistance;automate;0.07344038
assistance;automotive;0.11446967
assistance;autonomous;0.1614648
assistance;axle;0.010898465
assistance;battery;0.087565996
assistance;brake;0.15718685
assistance;brake_pedal;0.10022916
assistance;bus;0.06423395
assistance;camera;-0.008868686
assistance;capacity;0.16458996
assistance;car;0.09888596
assistance;characteristic;-0.04465428
assistance;circuit;-0.0015997809
assistance;clutch;0.055609204
assistance;collision;0.036359128
assistance;combustion;0.046905257
assistance;combustion_chamber;0.030541021
assistance;commercial_vehicle;0.08848694
assistance;communication;0.22094922
assistance;component;0.14114872
assistance;condition;0.111934885
assistance;connection;0.17209032
assistance;consumption;0.060503755
assistance;controller;0.026616968
assistance;curve;-0.015255349
assistance;cylinder;-0.010022304
assistance;define;-0.014715615
assistance;detection;0.12746407
assistance;diesel;0.106830604
assistance;diesel_engine;0.11017602
assistance;drive;0.035781387
assistance;dynamic;0.041642815
assistance;electric_motor;0.1275113
assistance;electrical;0.06742278
assistance;emission;0.03623105
assistance;engine;0.09772552
assistance;equation;-0.0035220054
assistance;error;0.08607656
assistance;factor;0.035266478
assistance;fault;0.11813627
assistance;friction;0.06168212
assistance;fuel;0.13628076
assistance;functional;0.0981063
assistance;gasoline;0.114200406
assistance;gear;0.09014821
assistance;hybrid;0.07347891
assistance;hydraulic;0.03977813
assistance;ignition;0.1049512
assistance;injection;0.15087673
assistance;input;0.26334313
assistance;intelligent;0.025052436
assistance;interface;0.08450355
assistance;internal_combustion_engine;0.07048251
assistance;lane;0.057433054
assistance;lateral;0.03289754
assistance;lateral_acceleration;0.097472176
assistance;limit;0.058811057
assistance;load;0.020650722
assistance;longitudinal;0.01467542
assistance;manufacturer;0.07079775
assistance;maximum;0.11030111
assistance;measure;0.030658029
assistance;measurement;0.004770198
assistance;mechanical;0.056893434
assistance;message;0.07482103
assistance;mode;0.060933538
assistance;module;0.055840924
assistance;moment;0.065842554
assistance;motor;0.051287953
assistance;navigation;0.15219252
assistance;passenger;0.03582564
assistance;optimal;0.101308346
assistance;output;0.057232656
assistance;parameter;-0.0058958717
assistance;phase;0.07951586
assistance;piston;-0.004026328
assistance;pump;0.09815957
assistance;ratio;0.025117273
assistance;rear;0.023624493
assistance;rear_wheel;0.023676198
assistance;requirement;0.11251363
assistance;resistance;0.15759921
assistance;risk;0.077681765
assistance;safety;0.11751179
assistance;scenario;0.0841866
assistance;sensor;0.061044477
assistance;shaft;0.027394226
assistance;signal;0.075060174
assistance;simulation;0.09831699
assistance;slip;0.0046277293
assistance;spark_plug;0.06385867
assistance;speed;0.059951033
assistance;spring;0.03791981
assistance;stability;0.20319429
assistance;steer;0.07238692
assistance;step;0.119495004
assistance;suspension;0.06075409
assistance;switch;-0.013373526
assistance;target;0.04666901
assistance;task;0.09226218
assistance;test;0.027837899
assistance;tire;-0.0052749584
assistance;torque;0.10119701
assistance;transmission;0.12747733
assistance;valve;0.03537288
assistance;variable;0.001880083
assistance;vehicle;0.14860353
assistance;velocity;0.009439631
assistance;voltage;0.04414008
assistance;warning;0.13965802
assistance;wheel;0.009335613
automate;automotive;0.11941863
automate;autonomous;0.19667971
automate;axle;0.104001
automate;battery;0.06259016
automate;brake;0.08106847
automate;brake_pedal;0.08080571
automate;bus;-0.005839018
automate;camera;0.06831938
automate;capacity;0.12989485
automate;car;0.03754126
automate;characteristic;0.0081424005
automate;circuit;0.031033287
automate;clutch;0.10114285
automate;collision;-0.040754173
automate;combustion;0.13455014
automate;combustion_chamber;0.15138394
automate;commercial_vehicle;0.14089227
automate;communication;0.15786795
automate;component;0.18494016
automate;condition;-0.042339697
automate;connection;0.09096432
automate;consumption;0.08593305
automate;controller;0.15581807
automate;curve;0.04101101
automate;cylinder;0.059368398
automate;define;0.23321696
automate;detection;0.24657576
automate;diesel;0.045645397
automate;diesel_engine;0.09982416
automate;drive;0.12276825
automate;dynamic;0.20469907
automate;electric_motor;0.15513438
automate;electrical;0.13211365
automate;emission;0.12432729
automate;engine;0.1780939
automate;equation;0.04591037
automate;error;0.18766339
automate;factor;0.034764595
automate;fault;0.060177617
automate;friction;0.06613912
automate;fuel;0.054096486
automate;functional;0.19881459
automate;gasoline;0.014343596
automate;gear;0.08446567
automate;hybrid;0.1162596
automate;hydraulic;0.15416351
automate;ignition;0.10048987
automate;injection;0.02719147
automate;input;0.1155167
automate;intelligent;0.17552234
automate;interface;0.40186515
automate;internal_combustion_engine;0.09055555
automate;lane;0.044290178
automate;lateral;0.07515455
automate;lateral_acceleration;0.08141641
automate;limit;0.1194555
automate;load;0.11776701
automate;longitudinal;0.14192234
automate;manufacturer;0.09594168
automate;maximum;0.05701792
automate;measure;0.0788938
automate;measurement;0.2757326
automate;mechanical;0.14252529
automate;message;0.0069570793
automate;mode;0.119286545
automate;module;0.4161698
automate;moment;-0.002976709
automate;motor;0.076140955
automate;navigation;0.15684661
automate;passenger;0.006363036
automate;optimal;0.21543565
automate;output;0.10997415
automate;parameter;0.21844518
automate;phase;0.13592051
automate;piston;0.14941487
automate;pump;0.11597642
automate;ratio;0.07464694
automate;rear;0.013233483
automate;rear_wheel;0.059460435
automate;requirement;0.13799173
automate;resistance;0.020937802
automate;risk;0.099520855
automate;safety;-0.014438608
automate;scenario;0.0022530141
automate;sensor;0.22621351
automate;shaft;0.005989961
automate;signal;0.034519695
automate;simulation;0.26758146
automate;slip;0.08624596
automate;spark_plug;0.01659096
automate;speed;0.1499002
automate;spring;0.074194014
automate;stability;-0.011786948
automate;steer;0.053179737
automate;step;0.101936005
automate;suspension;0.012354999
automate;switch;0.11306563
automate;target;0.02497093
automate;task;0.12518601
automate;test;0.10126793
automate;tire;0.023809668
automate;torque;0.14789186
automate;transmission;0.1339064
automate;valve;0.12260733
automate;variable;0.26335335
automate;vehicle;0.059791304
automate;velocity;0.10733617
automate;voltage;0.09805198
automate;warning;-0.04078749
automate;wheel;-0.012400981
automotive;autonomous;0.120366104
automotive;axle;0.26620188
automotive;battery;0.22189198
automotive;brake;0.3148061
automotive;brake_pedal;0.19208781
automotive;bus;0.060630318
automotive;camera;0.04688668
automotive;capacity;0.11348687
automotive;car;0.37437758
automotive;characteristic;0.062314436
automotive;circuit;0.173955
automotive;clutch;0.14131616
automotive;collision;0.14310355
automotive;combustion;0.25586516
automotive;combustion_chamber;0.1811584
automotive;commercial_vehicle;0.51427215
automotive;communication;0.11438265
automotive;component;0.27911133
automotive;condition;0.043271646
automotive;connection;0.028480368
automotive;consumption;0.14461276
automotive;controller;0.06477652
automotive;curve;0.090904266
automotive;cylinder;0.20983328
automotive;define;0.0935131
automotive;detection;0.093502484
automotive;diesel;0.26668715
automotive;diesel_engine;0.3678746
automotive;drive;0.12500931
automotive;dynamic;0.15885578
automotive;electric_motor;0.20423368
automotive;electrical;0.27882338
automotive;emission;0.29391375
automotive;engine;0.25845304
automotive;equation;0.05019969
automotive;error;0.010354871
automotive;factor;0.038159676
automotive;fault;0.07300385
automotive;friction;0.15385593
automotive;fuel;0.2681501
automotive;functional;0.20076303
automotive;gasoline;0.24150378
automotive;gear;0.117320135
automotive;hybrid;0.24279241
automotive;hydraulic;0.28009054
automotive;ignition;0.22765124
automotive;injection;0.13127443
automotive;input;0.097367756
automotive;intelligent;0.12306526
automotive;interface;0.14911886
automotive;internal_combustion_engine;0.29475063
automotive;lane;0.03931661
automotive;lateral;0.059282377
automotive;lateral_acceleration;0.21472533
automotive;limit;0.050615422
automotive;load;0.06703581
automotive;longitudinal;0.10623313
automotive;manufacturer;0.40661877
automotive;maximum;0.038813047
automotive;measure;0.08696932
automotive;measurement;0.23023385
automotive;mechanical;0.23089045
automotive;message;0.00354945
automotive;mode;0.07016112
automotive;module;0.22295988
automotive;moment;0.06215834
automotive;motor;0.39833367
automotive;navigation;0.28870997
